immigSelf,redistSelf,survey,immigEcon_mymedian,immigCultural_mymedian,immigSelf_mymedian,immigCon_mymedian,immigLab_mymedian,immigLD_mymedian,immigSNP_mymedian,immigPC_mymedian,immigUKIP_mymedian,immigGreen_mymedian,immigrantsWelfareState_mymedian,immigExpDV_mymedian,immigManipCheck_mymedian,immigManipCheck2_mymedian,immigrationLevel_mymedian,immigContributeTake_mymedian,immigTIG_mymedian,immigbrexit_mymedian,immigBrexit_mymedian,redistSelf_mymedian,redistCon_mymedian,redistLab_mymedian,redistLD_mymedian,redistUKIP_mymedian,redistSNP_mymedian,redistPC_mymedian,redistGreen_mymedian,redistTIG_mymedian,redistBrexit_mymedian,immigLefty,immigDistPC,redistDistPC,distPC,immigDistCon,redistDistCon,distCon,immigDistGreen,redistDistGreen,distGreen,immigDistSNP,redistDistSNP,distSNP,immigDistUKIP,redistDistUKIP,distUKIP,immigDistLD,redistDistLD,distLD,immigDistLab,redistDistLab,distLab,immigDistBrexit,redistDistBrexit,distBrexit,immigDistTIG,redistDistTIG,distTIG
0.0,1.0,BES2015_W10_v24.0.sav,2.0,1.0,0.0,4.0,7.0,6.0,8.5,5.0,0.0,6.0,4.0,,,,,,,,,1.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,,,10.0,-5.0,-1.0,5.0990195135927845,-4.0,-2.0,4.47213595499958,-6.0,-2.0,6.324555320336759,-8.5,0.0,8.5,0.0,-1.0,1.0,-6.0,-2.0,6.324555320336759,-7.0,-1.0,7.0710678118654755,,,,,,
4.0,6.0,BES2015_W10_v24.0.sav,5.0,4.0,4.0,4.0,6.0,6.0,8.0,4.0,0.0,6.0,3.0,,,,,,,,,6.0,6.0,4.0,5.0,6.0,5.0,6.0,5.0,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,2.23606797749979,-4.0,1.0,4.123105625617661,4.0,0.0,4.0,-2.0,1.0,2.23606797749979,-2.0,2.0,2.8284271247461903,,,,,,
5.0,4.0,BES2015_W10_v24.0.sav,5.0,5.0,5.0,3.0,6.0,6.0,6.0,5.0,0.0,6.0,2.0,,,,,,,,,4.0,7.0,3.0,4.0,7.0,4.0,3.0,3.5,,,5.0,0.0,1.0,1.0,2.0,-3.0,3.605551275463989,-1.0,0.5,1.118033988749895,-1.0,0.0,1.0,5.0,-3.0,5.830951894845301,-1.0,0.0,1.0,-1.0,1.0,1.4142135623730951,,,,,,
0.0,3.0,BES2015_W10_v24.0.sav,2.0,2.0,0.0,4.0,8.0,8.0,9.0,6.5,0.0,7.0,4.0,,,,,,,,,3.0,5.0,3.0,4.0,4.5,3.0,3.0,3.0,,,10.0,-6.5,0.0,6.5,-4.0,-2.0,4.47213595499958,-7.0,0.0,7.0,-9.0,0.0,9.0,0.0,-1.5,1.5,-8.0,-1.0,8.06225774829855,-8.0,0.0,8.0,,,,,,
2.0,8.0,BES2015_W10_v24.0.sav,4.0,3.0,2.0,3.0,8.0,8.0,9.0,6.5,0.0,8.0,4.0,,,,,,,,,8.0,7.0,2.0,3.0,7.0,2.0,1.0,3.0,,,8.0,-4.5,7.0,8.32165848854662,-1.0,1.0,1.4142135623730951,-6.0,5.0,7.810249675906654,-7.0,6.0,9.219544457292887,2.0,1.0,2.23606797749979,-6.0,5.0,7.810249675906654,-6.0,6.0,8.48528137423857,,,,,,
3.0,2.0,BES2015_W10_v24.0.sav,4.0,4.0,3.0,4.0,6.0,7.0,7.0,4.5,0.0,6.0,3.0,,,,,,,,,2.0,6.0,2.0,4.0,5.0,2.5,3.0,3.0,,,7.0,-1.5,-1.0,1.8027756377319946,-1.0,-4.0,4.123105625617661,-3.0,-1.0,3.1622776601683795,-4.0,-0.5,4.031128874149275,3.0,-3.0,4.242640687119285,-4.0,-2.0,4.47213595499958,-3.0,0.0,3.0,,,,,,
3.0,8.0,BES2015_W10_v24.0.sav,4.0,3.0,3.0,4.0,8.0,7.0,9.0,7.0,0.0,8.0,3.0,,,,,,,,,8.0,7.0,2.0,5.0,7.0,4.0,5.0,3.0,,,7.0,-4.0,3.0,5.0,-1.0,1.0,1.4142135623730951,-5.0,5.0,7.0710678118654755,-6.0,4.0,7.211102550927978,3.0,1.0,3.1622776601683795,-4.0,3.0,5.0,-5.0,6.0,7.810249675906654,,,,,,
0.0,5.0,BES2015_W10_v24.0.sav,2.0,1.0,0.0,3.0,8.0,8.0,9.5,8.0,0.0,7.0,4.0,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,10.0,-8.0,0.0,8.0,-3.0,0.0,3.0,-7.0,0.0,7.0,-9.5,0.0,9.5,0.0,0.0,0.0,-8.0,0.0,8.0,-8.0,0.0,8.0,,,,,,
5.0,9.0,BES2015_W10_v24.0.sav,5.0,5.0,5.0,3.0,6.0,6.0,8.5,5.0,0.0,7.0,3.0,,,,,,,,,9.0,7.0,3.0,5.0,6.0,2.5,5.0,3.0,,,5.0,0.0,4.0,4.0,2.0,2.0,2.8284271247461903,-2.0,6.0,6.324555320336759,-3.5,6.5,7.3824115301167,5.0,3.0,5.830951894845301,-1.0,4.0,4.123105625617661,-1.0,6.0,6.082762530298219,,,,,,
0.0,10.0,BES2015_W10_v24.0.sav,2.0,1.0,0.0,3.0,10.0,10.0,10.0,9.0,0.0,10.0,4.0,,,,,,,,,10.0,9.0,2.0,5.0,10.0,5.0,5.0,5.0,,,10.0,-9.0,5.0,10.295630140987,-3.0,1.0,3.1622776601683795,-10.0,5.0,11.180339887498949,-10.0,5.0,11.180339887498949,0.0,0.0,0.0,-10.0,5.0,11.180339887498949,-10.0,8.0,12.806248474865697,,,,,,
